"site","team","transect","spcode","start","stop","dieback","notes"
"C3","KS",3,"LARTRI",12.7,13.8,50,
"C3","KS",3,"HERB",19.1,21.5,,"cenna"
"C3","KS",3,"LARTRI",27,28.7,30,
"C3","KS",3,"HERB",28.6,31.1,,
"C3","KS",3,"FOUSPL",39.5,40.5,5,
"C3","KS",3,"LARTRI",46,49,100,
"C3","KS",3,"HERB",46.8,47.4,,
"C3","KS",4,"LARTRI",0.7,1.7,100,
"C3","KS",4,"LARTRI",5,6,60,
"C3","KS",4,"KRAGRA",6.3,6.9,70,
"C3","KS",4,"HERB",8.95,9.45,,
"C3","KS",4,"LARTRI",13.8,14.15,30,
"C3","KS",4,"HERB",35.1,35.8,,
"C3","KS",4,"LARTRI",40.95,41.3,100,
"C3","KS",4,"HERB",49.2,49.8,,
"PT2","AD",1,"HERB",0,0.25,,
"PT2","AD",1,"HERB",0.45,0.55,,
"PT2","AD",1,"NOLERU",1.8,2.85,,
"PT2","AD",1,"QUEGRI",2,2.05,10,
"PT2","AD",1,"OPUCHI",3.4,4.35,,
"PT2","AD",1,"HERB",4.4,4.85,,
"PT2","AD",1,"HERB",5.6,5.8,,
"PT2","AD",1,"NOLERU",5.9,7,,
"PT2","AD",1,"AGAHAV",6.95,7.3,,
"PT2","AD",1,"HERB",8.2,8.25,,
"PT2","AD",1,"NOLERU",8.6,9.1,,
"PT2","AD",1,"JUNFLA",8.5,9,,
"PT2","AD",1,"PINCEM",8.7,8.9,100,
"PT2","AD",1,"PINCEM",8.5,10.45,20,
"PT2","AD",1,"QUEGRI",12.05,12.2,,
"PT2","AD",1,"HERB",11.9,11.98,,
"PT2","AD",1,"HERB",13.35,14.45,,
"PT2","AD",1,"NOLERU",14.4,14.7,,
"PT2","AD",1,"HERB",15.1,15.4,,
"PT2","AD",1,"HERB",15.7,15.95,,
"PT2","AD",1,"PINCEM",15.65,18.5,15,
"PT2","AD",1,"HERB",15.8,15.85,,
"PT2","AD",1,"PINCEM",16.5,16.65,,
"PT2","AD",1,"HERB",17,17.7,,
"PT2","AD",1,"NOLERU",18.9,19.2,,
"PT2","AD",1,"HERB",19.8,20.3,,
"PT2","AD",1,"HERB",21,21.7,,
"PT2","AD",1,"HERB",22.1,23.8,,
"PT2","AD",1,"PINCEM",22.4,26.5,,
